nama_kabkota,value,lat,lon
Kab. Mojokerto,73.38868,-7.54086,112.496
Kab. Jombang,72.701006,-7.55994,112.257
Kab. Nganjuk,70.761025,-7.61615,111.945
Kab. Madiun,70.180961,-7.61259,111.647
Kab. Magetan,72.723997,-7.65453,111.347
Kab. Ngawi,68.821856,-7.4286,111.394
Kab. Bojonegoro,66.919547,-7.22605,111.791
Kab. Tuban,68.312569,-6.95912,111.893
Kab. Lamongan,69.632776,-7.12486,112.312
Kab. Gresik,74.469804,-7.12652,112.517
Kab. Bangkalan,64.505912,-7.04863,112.909
Kab. Sampang,59.699452,-7.05851,113.262
Kab. Pamekasan,64.600652,-7.07227,113.5
Kab. Sumenep,65.597574,-7.00034,113.852
Kota Kediri,76.284354,-7.82422,112.016
Kota Blitar,77.416101,-8.09311,112.165
Kota Malang,77.19951,-7.97649,112.627
Kota Probolinggo,74.334617,-7.78127,113.209
Kota Pasuruan,73.450914,-7.65633,112.905
Kota Mojokerto,77.021434,-7.46807,112.438
Kota Madiun,76.609601,-7.63149,111.53
Kota Surabaya,77.279493,-7.27981,112.711
Kota Batu,74.453841,-7.83708,112.531
Kab. Pandeglang,68.285623,-6.55064,105.715
Kab. Lebak,67.66957,-6.65249,106.189
Kab. Tangerang,71.764176,-6.18755,106.472
Kab. Serang,68.672918,-6.10998,106.281
Kota Tangerang,75.165018,-6.17562,106.652
Kota Cilegon,75.293839,-6.00466,106.005
Kota Serang,70.612317,-6.11908,106.159
Kota Tangerang Selatan,75.380163,-6.30593,106.681
Kab. Jembrana,72.690909,-8.31199,114.68
Kab. Tabanan,74.566979,-8.43686,115.063
Kab. Badung,75.022755,-8.54082,115.167
Kab. Gianyar,72.734665,-8.47876,115.297
Kab. Klungkung,70.537866,-8.74418,115.536
Kab. Bangli,70.711096,-8.33395,115.347
Kab. Karang Asem,66.417631,-8.3598,115.554
Kab. Buleleng,70.692673,-8.21916,114.944
Kota Denpasar,77.939219,-8.66035,115.227
Kab. Lombok Barat,61.709241,-8.55654,116.157
Kab. Lombok Tengah,60.729809,-8.68115,116.283
Kab. Lombok Timur,62.675251,-8.58374,116.558
Kab. Sumbawa,66.0671,-8.73956,117.523
Kab. Dompu,65.50892,-8.51802,118.325
Kab. Bima,65.178343,-8.56522,118.816
Kab. Sumbawa Barat,66.474478,-8.80847,116.911
Kab. Lombok Utara,58.955107,-8.33728,116.267
Kota Mataram,72.324766,-8.58142,116.117
Kota Bima,68.555294,-8.45275,118.807
Kab. Sumba Barat,63.845198,-9.57957,119.457
Kab. Sumba Timur,61.799818,-9.7967,120.249
Kab. Kupang,66.000437,-9.85561,123.84
Kab. Timor Tengah Selatan,65.926989,-9.82707,124.425
