nama_kabkota,value,lat,lon
Kab. Serang,95.228986,-6.10998,106.281
Kota Tangerang,98.389324,-6.17562,106.652
Kota Cilegon,98.715,-6.00466,106.005
Kota Serang,96.465104,-6.11908,106.159
Kota Tangerang Selatan,98.14831,-6.30593,106.681
Kab. Jembrana,89.824539,-8.31199,114.68
Kab. Tabanan,89.61973,-8.43686,115.063
Kab. Badung,92.916893,-8.54082,115.167
Kab. Gianyar,85.723185,-8.47876,115.297
Kab. Klungkung,82.09423,-8.74418,115.536
Kab. Bangli,83.802915,-8.33395,115.347
Kab. Karang Asem,72.400374,-8.3598,115.554
Kab. Buleleng,88.455003,-8.21916,114.944
Kota Denpasar,97.326203,-8.66035,115.227
Kab. Lombok Barat,76.415,-8.55654,116.157
Kab. Lombok Tengah,71.481148,-8.68115,116.283
Kab. Lombok Timur,80.020853,-8.58374,116.558
Kab. Sumbawa,89.779342,-8.73956,117.523
Kab. Dompu,83.69018,-8.51802,118.325
Kab. Bima,85.867974,-8.56522,118.816
Kab. Sumbawa Barat,90.753991,-8.80847,116.911
Kab. Lombok Utara,71.272843,-8.33728,116.267
Kota Mataram,91.820001,-8.58142,116.117
Kota Bima,93.740481,-8.45275,118.807
Kab. Sumba Barat,80.396528,-9.57957,119.457
Kab. Sumba Timur,83.204649,-9.7967,120.249
Kab. Kupang,89.02,-9.85561,123.84
Kab. Timor Tengah Selatan,84.38,-9.82707,124.425
Kab. Timor Tengah Utara,87.75,-9.35684,124.476
Kab. Belu,83.06792,-9.3837,124.928
Kab. Alor,95.98,-8.29574,124.74
Kab. Lembata,92.77,-8.37541,123.566
Kab. Flores Timur,89.350423,-8.346,122.819
Kab. Sikka,91.716806,-8.59524,122.569
Kab. Ende,93.52,-8.66889,121.695
Kab. Ngada,95.486143,-8.65213,121.153
Kab. Manggarai,91.08,-8.53765,120.438
Kab. Rote Ndao,89.00403,-10.6796,123.119
Kab. Manggarai Barat,88.772829,-8.60214,120.09
Kab. Sumba Tengah,72.16,-9.54585,119.186
Kab. Sumba Barat Daya,75.572707,-9.59047,119.681
Kab. Nagekeo,94.02,-8.68125,121.292
Kab. Manggarai Timur,91.087,-8.56284,120.711
Kab. Sabu Raijua,75.29,-10.5219,121.846
Kota Kupang,98.52227,-10.225,123.603
Kab. Sambas,90.553081,1.51623,109.329
Kab. Bengkayang,88.708844,1.03394,109.487
Kab. Landak,91.483912,0.516649,109.697
Kab. Pontianak,89.91,0.359825,109.165
Kab. Sanggau,89.96,0.285377,110.577
Kab. Ketapang,90.204426,-1.68179,110.539
Kab. Sintang,90.46,-0.119481,112.107
Kab. Kapuas Hulu,92.612066,0.830991,112.915
Kab. Sekadau,89.165168,0.055962,110.953
Kab. Melawi,92.365,-0.725618,111.783
Kab. Kayong Utara,88.28099,-1.07557,110.088
Kab. Kubu Raya,88.253908,-0.402846,109.51
Kota Pontianak,94.969596,-0.089018,109.351
Kota Singkawang,89.66,0.879057,109.019
Kab. Kotawaringin Barat,94.925879,-2.3877,111.415
Kab. Kotawaringin Timur,98.723334,-2.0018,112.62
Kab. Kapuas,97.19085,-1.86886,114.279
Kab. Barito Selatan,98.972,-1.92739,114.699
Kab. Barito Utara,98.2,-0.757642,115.13
Kab. Sukamara,95.57,-2.53044,111.24
Kab. Lamandau,98.66,-1.69264,111.237
Kab. Seruyan,99.3125,-2.1676,112.166
Kab. Katingan,99.466458,-1.86207,113.319
Kab. Pulang Pisau,94.319449,-2.77247,113.98
Kab. Gunung Mas,99.595668,-0.895158,113.491
Kab. Barito Timur,97.98,-1.93246,115.088
Kab. Murung Raya,99.94,-0.062238,114.204
Kota Palangka Raya,99.478997,-1.77978,113.809
Kab. Tanah Laut,93.89423,-3.84194,114.947
Kota Baru,94.025262,-2.78339,116.064
Kab. Banjar,96.030002,-3.28048,115.056
Kab. Barito Kuala,93.03,-3.02419,114.609
Kab. Tapin,95.703428,-2.85058,114.994
Kab. Hulu Sungai Selatan,96.768707,-2.70676,115.232
Kab. Hulu Sungai Tengah,97.42,-2.63117,115.421
Kab. Hulu Sungai Utara,95.988455,-2.42087,115.101
Kab. Tabalong,96.014421,-1.82989,115.448
Kab. Tanah Bumbu,94.71827,-3.32087,115.695
Kab. Balangan,94.92,-2.29685,115.567
Kota Banjarmasin,98.69652,-3.32828,114.573
Kota Banjar Baru,98.215759,-3.46166,114.786
Kab. Pasir,96.000555,-1.62224,116.229
Kab. Kutai Barat,95.971405,0.189887,115.19
Kab. Kutai Kartanegara,96.873422,0.245719,117.041
Kab. Kutai Timur,97.278706,1.02225,117.53
Kab. Berau,97.181246,1.80806,117.584
Kab. Malinau,92.938039,2.59453,115.698
Kab. Bulungan,95.56,2.92062,117.022
Kab. Nunukan,94.348162,3.87444,116.679
Kab. Penajam Paser Utara,95.546824,-1.21871,116.612
Kab. Tana Tidung,89.052068,3.4432,117.168
Kota Balikpapan,98.763728,-1.15958,116.887
Kota Samarinda,98.012483,-0.430184,117.174
Kota Tarakan,97.967778,3.33426,117.593
Kota Bontang,99.195933,0.209815,117.348
Kab. Bolaang Mongondow,98.287671,0.709545,124.067
Kab. Minahasa,99.706707,1.299,124.87
Kab. Kepulauan Sangihe,98.698563,3.54841,125.539
Kab. Kepulauan Talaud,99.531586,4.26898,126.79
Kab. Minahasa Selatan,99.779754,1.0733,124.528
Kab. Minahasa Utara,99.737546,1.507,124.998
Kab. Bolaang Mongondow Utara,98.392562,0.686082,123.431
Kab. Siau Tagulandang Biaro,99.757471,2.72134,125.383
Kab. Minahasa Tenggara,99.481329,0.999949,124.733
Kab. Bolaang Mongondow Selatan,98.32,0.410792,123.879
Kab. Bolaang Mongondow Timur,99.51254,0.673946,124.467
Kota Manado,99.857595,1.50213,124.852
Kota Bitung,99.38154,1.47772,125.134
Kota Tomohon,99.842083,1.31403,124.815
Kota Kotamobagu,99.621027,0.717768,124.246
Kab. Banggai Kepulauan,94.932,-1.39914,123.169
Kab. Banggai,95.94006,-1.09963,122.619
Kab. Morowali,97.437355,-2.27987,121.645
Kab. Poso,97.895406,-1.6695,120.48
Kab. Donggala,94.659451,0.001503,119.89
Kab. Tolitoli,95.335695,0.968331,120.874
Kab. Buol,98.643047,0.999847,121.558
Kab. Parigi Moutong,93.927575,-0.238456,119.968
Kab. Tojo Unauna,97.50375,-1.2185,121.345
Kab. Sigi,96.4,-1.45968,119.811
Kota Palu,99.246821,-0.820163,119.9
Kab. Kepulauan Selayar,89.229285,-6.14249,120.479
Kab. Bulukumba,85.349517,-5.46549,120.19
Kab. Bantaeng,78.983291,-5.48126,119.983
Kab. Jeneponto,77.273472,-5.57381,119.699
Kab. Takalar,81.800487,-5.41331,119.494
Kab. Gowa,81.916012,-5.354,119.687
Kab. Sinjai,86.44914,-5.20395,120.131
Kab. Maros,82.972438,-4.97008,119.717
Kab. Pangkajene Dan Kepulauan,87.545655,-4.75434,119.641
Kab. Barru,89.225896,-4.43319,119.698
Kab. Bone,84.855734,-4.68324,120.097
Kab. Soppeng,86.670632,-4.31902,119.9
Kab. Wajo,83.527334,-3.97811,120.16
Kab. Sidenreng Rappang,89.63,-3.80789,119.994
Kab. Pinrang,89.89676,-3.6456,119.611
Kab. Enrekang,90.438587,-3.53501,119.891
Kab. Luwu,91.479938,-3.34763,120.21
Kab. Tana Toraja,86.284428,-2.99152,119.734
Kab. Luwu Utara,92.357452,-2.41617,120.131
Kab. Luwu Timur,93.236906,-2.48105,120.695
Kab. Toraja Utara,83.802097,-3.0116,119.952
Kota Makassar,96.791766,-5.15306,119.453
Kota Parepare,97.163307,-4.01652,119.665
Kota Palopo,97.325,-2.99277,120.14
Kab. Buton,86.570094,-5.38816,122.899
Kab. Muna,87.974991,-4.91909,122.538
Kab. Konawe,94.61,-3.85577,122.067
Kab. Kolaka,93.247241,-3.67976,121.431
Kab. Konawe Selatan,94.12,-4.2602,122.397
Kab. Bombana,89.282446,-4.62735,121.813
Kab. Wakatobi,89.858435,-5.32294,123.582
Kab. Kolaka Utara,93.072429,-3.25263,121.129
Kab. Buton Utara,87.024321,-4.74096,122.975
Kab. Konawe Utara,93.81,-3.28607,121.915
Kota Kendari,98.603148,-4.0035,122.553
Kota Baubau,95.575425,-5.4266,122.682
Kab. Boalemo,95.69436,0.692982,122.33
Kab. Gorontalo,94.929986,0.740238,122.558
Kab. Pohuwato,97.05,0.70044,121.652
Kab. Bone Bolango,97.411693,0.559517,123.303
Kab. Gorontalo Utara,93.840052,0.892006,122.625
Kota Gorontalo,99.429617,0.531953,123.088
Kab. Majene,94.72,-3.21487,118.87
Kab. Polewali Mandar,85.92236,-3.30966,119.195
Kab. Mamasa,86.119916,-3.10129,119.265
Kab. Mamuju,89.182329,-2.35397,119.332
Kab. Mamuju Utara,95.571172,-1.34188,119.377
Kab. Maluku Tenggara Barat,99.633567,-7.56859,131.413
Kab. Maluku Tenggara,99.541017,-5.63475,133.02
Kab. Maluku Tengah,99.090678,-3.32153,129.356
Kab. Buru,92.840682,-3.34065,126.639
Kab. Kepulauan Aru,99.049942,-6.55316,134.291
Kab. Seram Bagian Barat,98.278712,-3.16,128.29
Kab. Seram Bagian Timur,98.140862,-3.42318,130.347
Kab. Maluku Barat Daya,98.130454,-7.7893,126.313
Kab. Buru Selatan,89.740388,-3.52835,126.615
Kota Ambon,99.593353,-3.67265,128.234
Kota Tual,99.699865,-5.6088,132.783
Kab. Halmahera Barat,95.707329,1.51616,127.624
Kab. Halmahera Tengah,96.794893,0.406088,128.463
Kab. Kepulauan Sula,97.384654,-1.83272,124.834
Kab. Halmahera Selatan,95.825,-1.54092,127.787
Kab. Halmahera Utara,95.982163,1.5173,127.793
Kab. Halmahera Timur,95.715667,1.02798,128.238
Kab. Pulau Morotai,93.890054,2.31688,128.449
Kota Ternate,98.950909,0.809597,127.339
Kota Tidore Kepulauan,97.620001,0.406088,127.662
Kab. Fakfak,97.458921,-3.31843,132.872
Kab. Kaimana,95.5,-3.5477,134.443
Kab. Teluk Wondama,84.050491,-2.58788,134.557
Kab. Teluk Bintuni,85.900765,-2.0977,133.322
Kab. Manokwari,87.7925,-1.80035,133.968
Kab. Sorong Selatan,88.320529,-1.66473,132.197
Kab. Sorong,91.6875,-0.946039,131.859
Kab. Raja Ampat,93.623523,-0.229671,131.037
Kab. Tambrauw,77.153558,-0.719501,132.355
Kab. Maybrat,90.73,-1.43974,132.338
Kota Sorong,99.132868,-0.927203,131.366
Kab. Merauke,87.986905,-7.9868,139.839
Kab. Jayawijaya,52.522376,-3.95492,139.031
Kab. Jayapura,96.650759,-3.0866,140.033
Kab. Nabire,83.590651,-3.46936,135.302
Kab. Yapen Waropen,88.820833,-1.75587,136.161
Kab. Biak Numfor,98.274482,-0.912187,135.872
Kab. Paniai,62.933026,-3.78484,136.459
Kab. Puncak Jaya,86.805418,-3.39141,138.025
Kab. Mimika,87.960409,-4.45002,136.341
Kab. Boven Digoel,32.943971,-6.18709,140.378
Kab. Mappi,31.425498,-6.31382,139.264
