kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
18,"Prov. Lampung",2007,"SMP/Mts/Paket/B",68.47
18,"Prov. Lampung",2008,"SD/MI/Paket/A",94.28
18,"Prov. Lampung",2008,"SM/SMK/MA/Paket/C",41.05
18,"Prov. Lampung",2008,"SMP/Mts/Paket/B",68.94
18,"Prov. Lampung",2009,"SD/MI/Paket/A",94.79
18,"Prov. Lampung",2009,"SM/SMK/MA/Paket/C",41.43
18,"Prov. Lampung",2009,"SMP/Mts/Paket/B",69.17
18,"Prov. Lampung",2010,"SD/MI/Paket/A",95.2
18,"Prov. Lampung",2010,"SM/SMK/MA/Paket/C",41.97
18,"Prov. Lampung",2010,"SMP/Mts/Paket/B",69.61
18,"Prov. Lampung",2011,"SD/MI/Paket/A",91.47
18,"Prov. Lampung",2011,"SM/SMK/MA/Paket/C",45.06
18,"Prov. Lampung",2011,"SMP/Mts/Paket/B",66.56
18,"Prov. Lampung",2012,"SD/MI/Paket/A",93.48
18,"Prov. Lampung",2012,"SM/SMK/MA/Paket/C",45.56
18,"Prov. Lampung",2012,"SMP/Mts/Paket/B",71.64
19,"Prov. Kepulauan Bangka Belitung",2003,"SD/MI",91.69
19,"Prov. Kepulauan Bangka Belitung",2003,"SM/MA",33.8
19,"Prov. Kepulauan Bangka Belitung",2003,"SMP/Mts",50.61
19,"Prov. Kepulauan Bangka Belitung",2004,"SD/MI",90.02
19,"Prov. Kepulauan Bangka Belitung",2004,"SM/MA",38.15
19,"Prov. Kepulauan Bangka Belitung",2004,"SMP/Mts",56.38
19,"Prov. Kepulauan Bangka Belitung",2005,"SD/MI",92000
19,"Prov. Kepulauan Bangka Belitung",2005,"SM/MA",39.57
19,"Prov. Kepulauan Bangka Belitung",2005,"SMP/Mts",61.61
19,"Prov. Kepulauan Bangka Belitung",2006,"SD/MI",91.51
19,"Prov. Kepulauan Bangka Belitung",2006,"SM/MA",34.84
19,"Prov. Kepulauan Bangka Belitung",2006,"SMP/Mts",55.3
19,"Prov. Kepulauan Bangka Belitung",2007,"SD/MI/Paket/A",91.59
19,"Prov. Kepulauan Bangka Belitung",2007,"SM/SMK/MA/Paket/C",37.53
19,"Prov. Kepulauan Bangka Belitung",2007,"SMP/Mts/Paket/B",52.58
19,"Prov. Kepulauan Bangka Belitung",2008,"SD/MI/Paket/A",91.77
19,"Prov. Kepulauan Bangka Belitung",2008,"SM/SMK/MA/Paket/C",37.72
19,"Prov. Kepulauan Bangka Belitung",2008,"SMP/Mts/Paket/B",53.11
19,"Prov. Kepulauan Bangka Belitung",2009,"SD/MI/Paket/A",92.52
19,"Prov. Kepulauan Bangka Belitung",2009,"SM/SMK/MA/Paket/C",38.13
19,"Prov. Kepulauan Bangka Belitung",2009,"SMP/Mts/Paket/B",53.1
19,"Prov. Kepulauan Bangka Belitung",2010,"SD/MI/Paket/A",92.86
19,"Prov. Kepulauan Bangka Belitung",2010,"SM/SMK/MA/Paket/C",38.69
19,"Prov. Kepulauan Bangka Belitung",2010,"SMP/Mts/Paket/B",53.58
19,"Prov. Kepulauan Bangka Belitung",2011,"SD/MI/Paket/A",91.12
19,"Prov. Kepulauan Bangka Belitung",2011,"SM/SMK/MA/Paket/C",40.91
19,"Prov. Kepulauan Bangka Belitung",2011,"SMP/Mts/Paket/B",60.19
19,"Prov. Kepulauan Bangka Belitung",2012,"SD/MI/Paket/A",94.22
19,"Prov. Kepulauan Bangka Belitung",2012,"SM/SMK/MA/Paket/C",42.12
19,"Prov. Kepulauan Bangka Belitung",2012,"SMP/Mts/Paket/B",62000
21,"Prov. Kepulauan Riau",2003,"SD/MI",
21,"Prov. Kepulauan Riau",2003,"SM/MA",
21,"Prov. Kepulauan Riau",2003,"SMP/Mts",
21,"Prov. Kepulauan Riau",2004,"SD/MI",
21,"Prov. Kepulauan Riau",2004,"SM/MA",
21,"Prov. Kepulauan Riau",2004,"SMP/Mts",
21,"Prov. Kepulauan Riau",2005,"SD/MI",91.65
21,"Prov. Kepulauan Riau",2005,"SM/MA",51.06
21,"Prov. Kepulauan Riau",2005,"SMP/Mts",66.48
21,"Prov. Kepulauan Riau",2006,"SD/MI",93.66
21,"Prov. Kepulauan Riau",2006,"SM/MA",52.13
21,"Prov. Kepulauan Riau",2006,"SMP/Mts",72.01
